cntry,agea,gndr,eisced,hinctnta,evmar,health,happy
AT,43,1,3,3,1,2,7
AT,67,1,3,5,1,2,8
AT,40,2,2,9,1,1,9
AT,63,1,3,6,1,2,8
AT,71,2,2,1,1,4,8
AT,64,1,3,5,1,1,9
AT,56,1,3,7,1,4,8
AT,74,2,3,2,1,4,5
AT,22,2,3,3,2,1,9
AT,48,1,3,4,1,2,10
AT,59,2,4,9,1,2,8
AT,77,1,3,3,1,3,10
AT,62,1,3,2,1,1,8
AT,27,1,4,2,2,2,5
AT,59,1,3,1,1,2,9
AT,60,2,3,5,1,1,10
AT,42,1,6,2,2,2,6
AT,59,1,4,3,2,2,10
AT,50,1,2,5,2,2,9
AT,43,2,5,7,2,4,4
AT,59,1,3,8,1,3,8
AT,70,2,7,9,1,3,6
AT,70,1,5,7,1,3,7
AT,46,1,5,6,1,2,4
AT,35,1,7,10,1,2,8
AT,36,1,3,7,1,1,10
AT,67,1,3,5,1,2,9
AT,68,2,2,1,1,2,7
AT,58,1,3,7,1,4,8
AT,62,2,3,3,1,2,6
AT,50,1,3,9,1,2,10
AT,72,1,3,5,1,2,8
AT,73,2,5,4,1,3,4
AT,45,1,3,1,2,2,9
AT,39,2,5,8,1,1,7
AT,50,2,3,6,1,1,9
AT,47,1,7,9,1,1,9
AT,60,1,2,2,1,3,3
AT,39,2,7,9,1,2,9
AT,31,2,3,8,1,2,9
AT,71,1,3,5,2,2,10
AT,49,2,4,10,1,3,10
AT,76,2,2,1,1,3,6
AT,36,2,3,5,1,2,7
AT,30,2,7,3,2,1,7
AT,46,2,2,10,1,1,10
AT,48,2,3,6,1,3,7
AT,77,1,3,4,1,3,10
AT,54,2,3,5,1,2,9
AT,25,1,5,6,2,2,7
AT,78,2,2,2,1,3,9
AT,41,2,7,10,2,2,7
AT,18,1,3,1,2,1,10
AT,32,2,5,5,2,2,7
AT,29,2,3,7,2,1,8
AT,54,2,3,1,1,3,7
AT,70,2,3,4,1,3,9
AT,57,1,3,9,1,1,9
AT,78,2,3,7,1,2,8
AT,73,2,3,3,1,3,7
AT,60,2,2,2,1,2,10
AT,39,2,3,9,1,1,9
AT,72,1,3,5,1,3,8
AT,65,1,3,5,1,1,8
AT,26,2,5,6,2,1,8
AT,60,2,4,8,1,4,8
AT,51,1,3,9,1,2,7
AT,60,2,3,3,1,3,7
AT,36,2,5,8,2,1,9
AT,55,1,3,4,2,1,5
AT,72,2,2,2,1,2,7
AT,27,2,5,4,2,1,9
AT,63,2,5,9,1,1,9
AT,49,2,2,6,1,1,9
AT,69,1,3,5,1,2,8
AT,32,2,7,4,2,1,9
AT,56,2,3,7,1,2,8
AT,24,1,3,3,2,1,7
AT,59,2,3,9,1,2,10
AT,59,2,5,6,1,2,6
AT,69,1,7,5,2,1,10
AT,75,1,3,2,1,2,6
AT,74,1,3,9,1,3,5
AT,79,2,2,2,1,2,10
AT,26,2,3,2,2,1,9
AT,50,2,3,7,1,2,8
AT,44,1,7,1,1,1,9
AT,54,2,2,3,1,2,7
AT,52,2,3,8,1,1,6
AT,39,1,4,8,1,2,8
AT,61,2,4,7,1,2,9
AT,34,2,5,7,1,1,4
AT,31,2,7,3,2,1,10
AT,74,1,3,4,1,3,8
AT,61,1,2,3,1,2,8
AT,26,1,3,3,2,1,9
AT,45,2,7,5,2,2,8
AT,49,2,6,4,1,1,9
AT,86,2,2,2,1,3,9
AT,68,1,3,1,1,2,9
AT,67,1,5,8,1,1,7
AT,69,2,4,3,1,4,5
AT,41,1,3,8,1,3,5
AT,18,1,2,6,2,1,8
AT,85,2,2,2,1,3,8
AT,21,1,4,9,2,1,7
AT,75,1,3,6,1,2,8
AT,48,2,7,7,2,2,7
AT,71,2,2,1,1,1,10
AT,77,2,5,3,1,3,6
AT,40,1,4,5,2,2,9
AT,33,1,3,5,1,1,9
AT,60,1,4,4,1,4,2
AT,46,1,3,10,1,2,8
AT,78,2,7,6,1,3,5
AT,26,2,5,9,1,1,9
AT,40,2,3,8,1,2,7
AT,47,1,1,4,2,2,10
AT,34,2,7,7,1,2,7
AT,65,2,6,5,1,1,10
AT,49,1,3,7,1,3,4
AT,58,2,3,2,1,1,8
AT,38,1,4,8,1,3,5
AT,17,1,2,10,2,1,9
AT,24,2,5,3,2,1,9
AT,28,2,3,3,2,1,9
AT,87,2,2,4,1,3,7
AT,60,2,3,3,1,3,7
AT,79,2,3,2,1,3,5
AT,50,1,7,5,1,1,9
AT,61,2,5,5,1,2,10
AT,82,1,2,4,1,2,9
AT,65,1,3,4,1,1,7
AT,55,1,5,7,1,4,3
AT,56,1,3,2,1,1,8
AT,34,1,7,4,2,2,8
AT,46,2,7,4,2,2,10
AT,27,2,3,7,2,1,10
AT,57,1,3,6,1,1,7
AT,42,2,4,10,1,2,8
AT,90,2,2,5,1,2,9
AT,27,1,3,5,2,1,10
AT,77,2,3,4,2,3,7
AT,67,1,3,6,1,2,10
AT,67,2,3,3,1,3,7
AT,36,2,5,7,1,1,10
AT,50,1,4,9,1,1,8
AT,52,2,5,8,1,2,8
AT,55,1,5,5,2,3,7
AT,74,2,2,3,1,3,8
AT,38,1,3,3,2,2,6
AT,44,2,3,7,1,1,9
AT,83,2,2,2,1,1,9
AT,66,2,5,1,1,3,8
AT,59,2,3,5,1,2,4
AT,71,2,2,6,1,2,10
AT,39,2,3,5,1,2,8
AT,59,2,3,6,1,2,9
AT,21,1,4,1,2,1,7
AT,71,2,3,1,1,3,9
AT,38,2,3,8,1,2,8
AT,24,2,3,5,2,1,9
AT,73,1,3,6,1,3,8
AT,66,1,7,9,1,2,7
AT,25,2,6,5,2,3,8
AT,23,1,2,2,2,2,7
AT,70,1,7,5,1,1,4
AT,68,2,3,2,1,1,10
AT,65,1,3,6,1,3,8
AT,58,2,7,8,1,1,10
AT,55,2,3,4,1,2,8
AT,61,2,3,5,1,3,7
AT,48,2,3,2,1,3,8
AT,60,2,5,6,2,1,7
AT,70,1,2,9,1,3,7
AT,72,2,3,3,1,2,10
AT,26,1,3,5,1,1,10
AT,63,2,2,1,1,2,9
AT,62,1,3,2,1,2,8
AT,29,1,3,5,1,1,8
AT,70,1,2,4,1,4,6
AT,65,2,3,8,2,4,7
AT,31,2,3,6,2,1,7
AT,44,2,3,4,1,1,8
AT,16,2,2,2,2,1,7
AT,75,1,7,9,1,2,8
AT,76,2,2,4,1,3,7
AT,49,2,3,7,1,3,9
AT,42,2,3,8,1,2,8
AT,20,2,3,2,2,1,9
AT,26,2,3,7,1,2,10
AT,63,1,3,5,1,2,8
AT,55,1,3,4,1,2,8
AT,75,2,3,3,1,3,9
AT,38,1,5,7,1,2,6
AT,51,2,4,3,1,2,8
AT,43,1,3,3,1,1,7
AT,55,1,3,8,1,2,8
AT,21,2,4,1,2,2,7
AT,17,2,2,2,2,1,8
AT,40,1,5,8,2,1,8
AT,51,2,7,7,1,2,7
AT,56,2,7,2,2,2,2
AT,26,2,3,2,2,1,9
AT,54,1,3,5,2,3,6
AT,48,2,3,9,1,2,9
AT,56,1,4,4,2,4,6
AT,69,1,7,1,2,2,8
AT,62,2,3,6,1,1,7
AT,39,2,7,3,2,3,8
AT,52,1,3,2,2,2,10
AT,70,2,4,4,1,3,8
AT,75,2,2,1,1,1,10
AT,86,2,3,4,1,3,6
AT,35,1,3,5,2,2,7
AT,26,2,6,5,1,1,4
AT,24,2,3,6,2,1,5
AT,53,1,5,6,2,2,6
AT,55,2,3,5,2,3,5
AT,54,1,3,10,1,2,8
AT,77,2,2,4,1,2,8
AT,37,2,7,10,1,1,9
AT,63,2,7,9,2,2,8
AT,74,1,3,5,1,3,8
AT,60,1,2,5,1,3,6
AT,70,1,3,5,1,2,8
AT,67,2,3,8,1,2,6
AT,41,2,2,1,2,3,6
AT,55,1,3,7,1,3,8
AT,51,2,2,7,1,3,5
AT,16,1,2,10,2,1,8
AT,50,2,3,6,2,2,7
AT,73,2,3,2,1,1,6
AT,72,2,3,7,1,4,5
AT,35,1,3,8,1,1,10
AT,83,2,3,5,1,3,10
AT,53,2,3,5,1,1,10
AT,38,1,5,5,1,1,9
AT,32,1,3,8,1,1,9
AT,37,1,2,5,1,3,8
AT,77,2,3,9,1,2,7
AT,46,2,7,4,1,1,7
AT,79,1,2,3,1,4,7
AT,71,1,3,4,1,3,7
AT,56,2,2,2,1,3,8
AT,21,2,2,1,2,1,4
AT,48,1,3,1,2,3,5
AT,46,1,3,7,1,2,8
AT,71,1,2,5,2,2,7
AT,63,2,3,5,1,3,7
AT,40,2,4,2,1,1,9
AT,83,1,7,6,1,2,7
AT,72,1,3,3,2,2,7
AT,38,1,3,4,2,1,8
AT,66,2,3,1,1,2,8
AT,63,2,2,9,1,1,10
AT,34,1,3,9,1,1,8
AT,59,1,3,7,1,2,9
AT,73,1,3,7,1,2,8
AT,31,1,3,8,1,1,10
AT,55,2,3,6,1,2,7
AT,55,1,3,10,1,1,10
AT,68,2,3,3,1,3,8
AT,26,1,5,1,2,1,8
AT,26,1,3,6,2,1,9
AT,60,2,5,10,1,1,9
AT,49,1,7,8,1,1,9
AT,56,2,3,3,1,2,8
AT,64,1,6,7,1,2,10
AT,25,1,4,2,2,1,8
AT,80,2,3,5,1,3,5
AT,49,2,5,6,2,1,8
AT,65,1,4,6,1,1,10
AT,82,1,3,5,1,2,6
AT,62,1,3,4,1,1,9
AT,85,2,3,2,1,3,8
AT,66,1,3,8,1,3,7
AT,44,2,3,4,2,2,7
AT,32,1,3,5,1,2,7
AT,49,2,2,3,1,1,5
AT,57,1,5,3,1,3,8
AT,61,1,2,5,1,5,10
AT,64,2,4,3,2,3,4
AT,68,1,3,4,1,3,10
AT,85,2,1,2,1,4,5
AT,62,1,3,4,1,2,8
AT,46,2,4,10,1,2,7
AT,54,2,3,9,2,2,7
AT,53,1,3,5,1,2,9
AT,49,2,4,4,1,1,10
AT,71,2,3,1,1,2,9
AT,71,1,3,5,1,2,7
AT,40,2,3,4,2,2,5
AT,78,1,2,2,1,1,9
AT,32,2,3,2,2,1,9
AT,30,1,3,6,1,1,9
AT,56,1,5,3,1,1,8
AT,43,1,3,8,1,3,5
AT,69,1,3,5,1,3,8
AT,44,2,3,1,2,1,8
AT,24,2,3,2,1,3,5
AT,42,1,7,5,2,2,7
AT,32,2,3,4,1,2,3
AT,52,2,3,1,1,3,8
AT,39,1,5,9,1,2,8
AT,79,1,3,6,1,3,5
AT,50,2,3,6,1,2,5
AT,65,2,1,2,1,3,4
AT,66,1,2,3,2,2,7
AT,28,2,3,5,2,3,7
AT,58,2,2,1,2,3,4
AT,24,1,3,5,2,2,7
AT,25,1,5,3,2,1,9
AT,36,2,6,5,1,2,7
AT,55,2,3,3,1,2,8
AT,66,1,3,6,1,3,8
AT,58,2,3,2,2,3,7
AT,28,2,3,2,2,1,9
AT,46,2,3,9,1,2,10
AT,58,2,3,3,1,2,5
AT,29,2,3,6,1,1,9
AT,62,2,3,5,1,3,9
AT,61,2,3,5,1,1,10
AT,52,1,3,4,1,3,7
AT,26,1,3,10,2,2,9
AT,84,1,3,6,1,3,8
AT,80,2,2,3,1,3,8
AT,44,1,3,3,1,4,5
AT,41,1,3,7,1,2,8
AT,58,2,4,5,1,4,3
AT,26,2,4,7,1,1,10
AT,78,2,7,4,1,2,9
AT,41,2,3,8,1,2,8
AT,69,1,4,2,1,1,8
AT,71,1,7,8,1,2,10
AT,51,1,6,4,2,2,4
AT,68,1,2,6,2,1,6
AT,56,2,3,4,1,2,9
AT,23,2,5,5,2,1,10
AT,58,2,3,9,1,3,8
AT,65,2,5,3,2,1,9
AT,68,2,2,4,1,3,7
AT,68,1,3,5,1,3,10
AT,77,1,3,3,1,3,9
AT,25,1,3,3,2,1,7
AT,65,2,3,2,1,2,8
AT,51,2,3,3,1,1,9
AT,57,1,3,2,1,1,8
AT,26,2,7,3,2,1,9
AT,52,1,7,3,2,1,7
AT,67,1,3,3,2,3,9
AT,30,2,3,6,1,2,8
AT,29,1,3,1,2,3,4
AT,33,1,3,4,2,1,5
AT,55,2,7,5,1,3,8
AT,52,1,3,7,1,2,8
AT,67,1,5,6,1,2,9
AT,61,2,3,3,1,2,8
AT,79,2,2,2,1,1,9
AT,43,2,4,2,2,2,9
AT,52,2,3,8,1,1,7
AT,66,1,3,5,1,3,8
AT,81,2,3,2,1,1,7
AT,25,1,3,6,2,2,6
AT,82,1,2,4,1,2,7
AT,29,1,3,7,1,2,8
AT,48,1,7,10,1,2,8
AT,59,1,3,8,1,3,9
AT,22,2,3,2,2,1,5
AT,25,2,3,3,2,2,8
AT,38,1,4,5,1,1,8
AT,38,2,3,6,1,2,10
AT,67,2,4,4,1,1,9
AT,72,1,3,5,1,3,4
AT,23,1,5,3,2,1,8
AT,69,2,6,5,2,1,8
AT,72,1,5,7,1,3,5
AT,30,1,3,7,1,1,9
AT,53,2,3,8,1,2,8
AT,48,1,7,9,1,1,9
AT,38,1,4,8,1,3,7
AT,38,1,7,2,2,2,6
AT,85,2,3,2,1,3,8
AT,54,2,3,2,1,1,4
AT,50,2,7,6,1,2,9
AT,72,2,3,1,1,3,10
AT,63,1,2,3,1,3,10
AT,48,1,1,3,1,5,5
AT,31,1,3,2,2,2,6
AT,24,1,7,10,1,1,9
AT,29,2,3,6,1,2,7
AT,25,1,3,9,2,2,10
AT,74,2,5,4,1,2,6
AT,38,1,7,8,1,4,7
AT,72,1,5,9,1,2,10
AT,80,2,2,5,1,3,9
AT,75,2,2,2,1,3,6
AT,26,1,5,8,2,2,4
AT,34,2,7,7,1,2,9
AT,50,1,4,10,1,1,8
AT,31,1,3,3,2,1,8
AT,26,1,3,3,2,1,9
AT,65,2,3,4,1,2,7
AT,20,1,7,10,1,2,9
AT,78,2,3,5,1,2,9
AT,49,2,5,10,1,1,10
AT,42,2,7,9,1,2,9
AT,52,1,7,7,2,2,8
AT,53,2,3,3,1,3,6
AT,61,1,2,1,1,4,5
AT,62,2,2,4,1,2,8
AT,63,1,7,10,1,1,8
AT,78,1,3,6,1,2,9
AT,60,2,3,5,1,1,9
AT,77,1,3,5,1,3,7
AT,56,1,6,4,1,2,8
AT,80,2,6,1,1,1,8
AT,54,1,3,2,1,4,2
AT,41,2,5,9,1,2,8
AT,47,1,2,5,2,2,8
AT,25,2,2,7,2,1,10
AT,44,2,4,8,1,2,8
AT,68,2,3,3,1,4,4
AT,73,2,7,8,2,1,10
AT,71,1,2,6,1,2,8
AT,79,2,2,5,1,3,9
AT,52,1,3,4,2,2,8
AT,61,2,3,3,1,2,6
AT,81,2,2,2,1,1,7
AT,32,1,1,4,1,2,10
AT,79,2,2,1,1,4,5
AT,36,2,5,9,2,1,8
AT,70,2,4,5,1,2,8
AT,22,2,2,3,2,2,9
AT,70,1,3,3,1,2,8
AT,58,1,6,1,2,2,8
AT,77,1,5,5,1,2,7
AT,71,1,5,2,1,3,6
AT,78,2,3,6,1,1,7
AT,39,2,3,8,1,1,8
AT,71,1,6,9,1,2,8
AT,62,2,3,5,1,2,9
AT,53,1,7,10,1,2,8
AT,74,1,3,2,1,2,7
AT,55,1,2,5,1,3,5
AT,19,2,3,2,2,1,10
AT,58,2,5,4,1,2,10
AT,62,2,2,6,1,1,9
AT,26,2,3,2,2,2,7
AT,38,2,3,8,1,2,8
AT,63,1,5,9,1,1,9
AT,53,2,3,5,1,3,9
AT,59,2,4,7,1,1,10
AT,70,1,3,5,1,3,8
AT,59,2,2,5,1,2,4
AT,34,1,5,4,1,2,7
AT,55,2,3,5,1,2,8
AT,28,1,3,6,2,2,6
AT,29,2,4,7,1,1,10
AT,28,1,2,1,2,1,7
AT,16,2,3,5,1,2,7
AT,77,1,3,5,1,2,8
AT,53,2,5,8,1,2,8
AT,73,2,2,2,1,3,10
AT,44,1,3,8,1,1,8
AT,26,2,3,2,2,1,8
AT,86,2,1,1,1,3,6
AT,53,2,3,9,1,1,8
AT,41,1,5,4,2,1,9
AT,84,1,3,4,1,2,9
AT,51,2,5,8,1,3,8
AT,43,2,5,1,2,3,8
AT,24,1,3,4,2,1,8
AT,44,2,3,3,1,1,10
AT,22,1,5,8,2,1,9
AT,50,2,3,9,2,2,8
AT,41,2,7,5,1,1,9
AT,52,2,3,3,1,2,8
AT,84,1,1,2,1,2,8
AT,40,1,3,6,1,4,4
AT,26,2,6,4,2,1,9
AT,39,2,3,8,1,2,8
AT,48,2,3,6,1,1,8
AT,26,2,3,7,1,2,9
AT,63,2,2,4,1,3,8
AT,54,2,3,7,1,1,9
AT,25,2,3,2,2,1,9
AT,70,2,3,6,1,2,7
AT,28,2,3,6,2,1,9
AT,46,2,3,7,1,1,7
AT,42,2,3,8,1,3,7
AT,41,2,7,7,2,1,6
AT,54,2,2,10,1,2,8
AT,37,1,5,5,2,2,10
AT,76,2,5,4,1,2,9
AT,60,1,3,1,1,5,5
AT,29,1,6,7,2,1,10
AT,36,1,3,6,1,2,8
AT,75,2,2,4,1,3,8
AT,42,1,5,7,1,1,9
AT,70,1,3,5,1,1,8
AT,24,1,6,9,2,2,7
AT,16,2,2,6,2,1,10
AT,32,2,3,9,1,2,10
AT,67,2,3,4,1,3,8
AT,41,1,3,6,1,3,8
AT,53,2,3,3,2,2,7
AT,29,1,3,8,2,1,10
AT,65,1,3,5,1,3,7
AT,26,2,3,2,2,1,8
AT,72,2,3,5,1,2,6
AT,75,2,4,3,1,1,9
AT,48,2,3,2,1,1,10
AT,35,1,3,9,1,1,10
AT,67,1,3,4,1,3,7
AT,39,2,4,7,1,1,9
AT,51,2,3,2,1,1,8
AT,81,1,7,6,1,1,8
AT,76,2,2,4,1,4,8
AT,22,2,3,3,2,2,6
AT,38,1,3,5,2,3,0
AT,77,1,2,5,1,3,8
AT,79,2,2,2,1,3,8
AT,80,2,2,8,1,3,5
AT,87,1,2,2,1,2,6
AT,28,1,3,3,2,2,6
AT,72,2,3,3,1,4,4
AT,65,1,3,5,1,3,8
AT,62,2,3,10,1,1,10
AT,32,2,6,7,2,2,8
AT,55,2,3,5,1,3,8
AT,67,2,3,3,1,2,10
AT,47,2,5,4,1,2,5
AT,54,1,3,7,1,1,9
AT,50,2,5,8,1,2,10
AT,72,2,3,2,1,3,9
AT,31,1,3,6,1,3,8
AT,66,1,2,3,1,2,10
AT,60,2,3,2,1,2,2
AT,88,1,7,6,1,3,5
AT,72,1,5,5,1,2,8
AT,42,2,5,10,1,1,10
AT,56,2,5,4,2,3,7
AT,25,1,3,4,2,1,10
AT,46,1,2,5,1,1,3
AT,71,2,3,4,1,2,6
AT,46,2,3,4,1,1,10
AT,79,1,5,5,1,2,7
AT,69,1,3,4,1,2,10
AT,36,1,3,3,2,1,5
AT,48,2,3,7,1,2,7
AT,41,1,3,7,1,2,8
AT,54,1,5,2,1,2,9
AT,49,1,3,2,2,2,9
AT,28,2,3,6,1,1,8
AT,43,1,7,8,1,1,8
AT,25,1,5,7,2,2,8
AT,22,2,6,5,2,1,10
AT,52,1,3,5,1,2,5
AT,70,1,3,5,1,3,8
AT,63,1,3,4,1,4,0
AT,80,1,3,4,1,3,5
AT,84,2,3,4,1,3,6
AT,45,2,5,3,1,1,10
AT,28,2,2,7,1,2,8
AT,40,2,7,8,1,2,8
AT,56,2,3,2,1,1,8
AT,54,1,3,8,2,2,9
AT,76,2,3,2,1,4,5
AT,57,1,3,2,1,3,8
AT,26,2,6,5,2,2,9
AT,68,1,3,6,1,3,8
AT,23,2,3,6,2,1,7
AT,36,2,3,6,1,1,8
AT,68,2,2,1,1,2,8
AT,45,1,3,7,1,1,9
AT,83,1,2,3,1,2,9
AT,39,1,5,4,2,1,9
AT,30,1,5,8,1,2,9
AT,80,1,3,6,1,2,8
AT,32,2,3,4,1,1,6
AT,65,2,7,5,1,3,7
AT,46,2,5,7,1,3,9
AT,86,1,3,4,1,3,8
AT,56,2,5,4,2,2,7
AT,20,2,2,3,2,1,6
AT,77,1,5,5,1,3,10
AT,52,1,5,8,2,1,10
AT,42,1,4,2,1,1,10
AT,39,1,3,9,1,1,8
AT,36,2,4,1,2,1,9
AT,21,2,3,7,2,3,2
AT,58,1,3,5,1,2,7
AT,69,1,3,9,1,2,8
AT,60,2,3,7,1,2,7
AT,52,2,3,7,1,2,8
AT,66,1,2,2,1,2,8
AT,60,1,5,4,1,2,8
AT,70,1,3,10,1,2,10
AT,65,1,3,4,1,2,8
AT,54,2,7,2,2,2,6
AT,57,1,3,3,2,2,7
AT,69,2,2,1,1,2,5
AT,65,1,3,1,2,1,8
AT,74,1,3,6,1,3,8
AT,73,2,3,7,1,2,7
AT,67,2,3,3,1,2,10
AT,74,2,3,3,1,4,6
AT,28,2,3,2,2,1,9
AT,67,1,6,5,1,2,9
AT,56,1,3,9,1,3,9
AT,77,2,2,5,1,4,9
AT,74,2,2,3,2,3,8
AT,78,2,2,2,1,1,8
AT,27,2,3,5,1,1,9
AT,29,1,3,6,2,1,8
AT,44,1,5,9,1,2,8
AT,76,1,2,4,1,2,10
AT,54,2,3,1,1,4,3
AT,22,2,2,1,1,2,7
AT,52,1,3,2,1,1,9
AT,42,2,3,7,1,3,8
AT,56,2,6,9,1,2,9
AT,66,2,2,1,1,1,8
AT,33,2,3,9,1,2,8
AT,80,1,3,2,2,3,7
AT,32,2,3,7,1,2,8
AT,76,1,3,4,1,3,6
AT,37,2,7,5,2,1,10
AT,35,1,3,4,2,1,9
AT,34,2,5,5,2,2,9
AT,62,1,3,7,1,3,8
AT,81,2,3,3,1,2,9
AT,37,2,3,6,1,2,9
AT,31,1,3,5,1,1,8
AT,37,1,3,5,1,2,8
AT,46,2,7,5,1,3,7
AT,55,1,3,7,1,3,8
AT,39,1,3,3,1,2,5
AT,60,2,2,6,1,2,9
AT,16,1,7,1,1,3,4
AT,58,2,3,6,1,1,10
AT,36,2,2,6,1,1,5
AT,73,1,7,4,1,2,9
AT,17,2,2,10,2,3,8
AT,64,2,2,7,1,4,4
AT,71,1,3,4,1,2,8
AT,51,1,3,10,1,3,8
AT,56,1,3,5,2,1,10
AT,79,2,3,3,1,3,7
AT,38,1,3,3,1,2,8
AT,56,1,3,3,1,1,8
AT,34,2,3,7,2,1,10
AT,61,2,3,8,1,2,7
AT,78,1,5,6,1,2,6
AT,47,1,3,4,2,2,8
AT,54,1,2,6,1,3,3
AT,62,2,2,5,1,1,9
AT,30,1,7,1,1,1,6
AT,49,1,5,9,1,2,8
AT,24,1,3,2,2,1,8
AT,23,1,3,4,2,1,8
AT,29,1,3,8,1,3,8
AT,83,2,3,6,1,2,8
AT,35,2,3,3,1,2,8
AT,78,1,3,4,1,3,6
AT,54,2,5,7,2,1,9
AT,79,2,2,2,1,3,9
AT,50,2,6,5,2,1,8
AT,37,1,3,2,1,1,8
AT,29,2,3,6,2,2,8
AT,37,2,3,2,1,1,9
AT,75,2,2,4,1,3,6
AT,37,1,2,5,1,3,6
AT,53,1,5,6,1,2,8
AT,37,2,7,9,1,1,10
AT,22,2,3,5,2,1,9
AT,38,2,2,9,2,2,8
AT,38,2,3,9,1,1,9
AT,56,1,7,1,2,2,9
AT,36,1,7,5,2,1,7
AT,51,1,2,3,2,2,3
AT,48,1,3,6,2,1,8
AT,69,2,2,2,1,2,7
AT,68,1,3,5,1,3,10
AT,52,2,2,4,2,2,7
AT,16,2,3,4,1,3,8
AT,48,2,3,3,1,2,8
AT,64,2,6,2,2,2,7
AT,81,2,2,2,1,3,9
AT,34,2,3,6,1,2,9
AT,58,1,3,5,1,2,7
AT,74,2,4,5,1,4,6
AT,48,2,3,3,1,2,5
AT,49,2,5,7,1,2,9
AT,66,1,2,4,1,3,7
AT,22,1,3,2,2,1,7
AT,64,1,5,7,1,1,10
AT,51,2,3,9,1,3,9
AT,60,1,7,2,1,3,4
AT,55,1,3,1,2,3,4
AT,67,1,3,4,1,2,9
AT,35,1,4,1,2,1,7
AT,60,2,7,4,1,1,10
AT,45,2,3,9,1,2,8
AT,59,2,6,3,1,1,10
AT,83,2,2,3,1,3,5
AT,42,1,3,2,2,2,5
AT,62,2,6,10,1,1,9
AT,48,2,2,6,1,3,10
AT,44,2,2,4,2,2,9
AT,42,2,2,7,1,1,10
AT,16,2,2,3,2,1,8
AT,82,2,2,4,1,2,7
AT,72,1,4,9,1,1,10
AT,37,2,7,5,2,2,10
AT,71,1,3,5,1,2,8
AT,47,2,4,5,1,4,10
AT,47,1,2,3,2,2,6
AT,20,1,3,1,2,1,7
AT,55,2,3,3,1,2,5
AT,53,2,5,7,1,1,8
AT,32,1,7,6,2,1,8
AT,83,2,2,2,1,2,9
AT,43,2,3,7,1,1,9
AT,50,1,3,4,2,2,8
AT,41,1,4,9,1,2,8
AT,67,1,6,4,1,2,7
AT,70,2,3,5,1,3,7
AT,62,2,3,5,1,1,10
AT,79,2,4,8,1,2,8
AT,18,1,2,1,2,1,8
AT,69,2,2,3,1,2,7
AT,50,1,3,8,1,2,3
AT,63,1,3,9,1,3,7
AT,74,2,2,3,1,2,10
AT,55,2,2,4,1,2,7
AT,71,1,3,2,1,2,9
AT,34,1,3,4,1,1,5
AT,64,2,3,4,1,3,8
AT,59,1,3,2,2,3,5
AT,65,1,3,3,2,1,9
AT,70,2,3,2,1,3,8
AT,74,2,5,3,1,3,7
AT,75,2,4,3,1,2,8
AT,79,1,5,2,1,3,7
AT,24,2,3,2,2,1,9
AT,20,1,2,9,2,1,10
AT,77,1,7,7,1,2,7
AT,48,2,3,9,1,2,8
AT,48,1,3,7,1,2,8
AT,77,2,3,5,1,4,9
AT,30,1,6,7,1,1,9
AT,52,2,3,5,1,2,8
AT,63,1,3,2,1,2,8
AT,48,1,3,7,1,2,7
AT,42,2,2,1,1,2,7
AT,78,1,3,4,1,3,7
AT,81,1,3,2,1,3,7
AT,23,2,3,6,2,1,9
AT,38,1,3,7,1,3,8
AT,21,1,2,2,2,1,6
AT,48,2,3,5,1,1,8
AT,44,2,2,4,1,2,8
AT,47,2,3,9,1,2,8
AT,55,2,5,3,1,2,8
AT,72,2,3,3,1,3,7
AT,75,1,5,5,1,2,8
AT,74,1,3,8,1,3,7
AT,74,1,3,5,1,1,10
AT,48,2,5,5,1,2,7
AT,43,1,2,4,2,3,3
AT,72,1,3,4,1,4,7
AT,60,2,3,2,1,1,8
AT,75,2,3,3,1,4,7
AT,67,1,5,6,1,2,8
AT,64,1,3,4,1,2,9
AT,37,2,2,2,1,1,7
AT,56,2,2,2,1,3,2
AT,42,1,3,10,1,2,9
AT,53,2,2,7,1,3,7
AT,49,1,7,5,1,1,6
AT,56,1,3,3,1,3,8
AT,18,1,2,10,2,2,10
AT,41,2,7,5,2,1,7
AT,42,2,6,4,2,2,10
AT,35,1,7,10,1,2,10
AT,50,1,2,3,1,3,10
AT,44,2,3,6,2,3,7
AT,53,2,2,6,1,1,9
AT,53,1,7,3,1,1,6
AT,76,1,2,6,1,3,8
AT,82,1,2,3,1,3,9
AT,42,2,5,9,1,2,8
AT,26,1,3,4,2,2,6
AT,55,2,3,3,1,2,8
AT,65,2,6,4,1,3,4
AT,67,2,2,3,1,2,10
AT,73,2,3,2,1,1,6
AT,90,2,2,1,1,3,9
AT,27,1,3,6,2,1,8
AT,29,2,3,7,1,2,6
AT,42,2,5,8,1,2,8
AT,40,1,3,6,1,2,9
AT,60,2,3,7,1,1,7
AT,41,2,3,7,1,2,8
AT,39,1,3,8,1,2,10
AT,76,2,4,4,1,2,5
AT,77,1,3,4,2,3,7
AT,72,1,3,7,1,3,10
AT,76,1,3,2,1,2,8
AT,77,2,5,9,1,2,9
AT,70,2,3,2,1,3,9
AT,39,1,7,7,1,2,8
AT,48,2,2,1,1,2,9
AT,73,2,3,2,1,2,8
AT,78,2,3,2,1,2,7
AT,30,2,4,5,2,1,8
AT,78,1,3,5,1,2,8
AT,23,1,4,1,2,1,9
AT,53,2,2,6,1,2,8
